termino,clase_real,clase_predicha,latencia_media,std,n_mediciones,n_variaciones
friend,Medium,High,3.5465105266714665,0.3829717257596746,19,20
day,High,High,3.4966052630089077,0.29134772826836525,19,20
playstation,Low,High,3.519521052734681,0.42484964601381575,19,20
time,High,High,3.511157895110572,0.5255531242045294,19,20
ethereum,Low,High,3.411305263350522,0.2793573227883967,19,20
bitcoin,Low,High,3.544715789183484,0.40831668940986476,19,20
face,Medium,High,3.4582894739670387,0.35616419635002966,19,20
world,Medium,High,3.2224684205414778,0.22595127821722893,19,20
man,High,High,3.6796736837315716,0.43488079671638263,19,20
