termino,clase_real,clase_predicha,latencia_media,std,n_mediciones,n_variaciones
playstation,Low,High,5.922505264415553,0.9735871334514857,19,20
time,High,High,5.5221684206595745,0.3525773690042521,19,20
day,High,High,5.689331579273322,0.5114159748146614,19,20
friend,Medium,High,5.929063158155738,0.6198837158659274,19,20
man,High,High,5.855942104397783,0.6954055736389452,19,20
face,Medium,High,5.670936842522535,0.6252734125421104,19,20
ethereum,Low,High,6.028078947565518,0.5792929361006127,19,20
world,Medium,High,5.76462631617783,0.6660142055999614,19,20
bitcoin,Low,High,5.674657895150104,0.4476008659877753,19,20
