termino,clase_real,clase_predicha,latencia_media,std,n_mediciones,n_variaciones
bitcoin,Low,High,1.960363156716707,0.35896056252186653,19,20
playstation,Low,High,2.1205052620835456,0.4120204581574784,19,20
world,Medium,High,2.051173684441509,0.4508366858830651,19,20
time,High,High,2.0882473679529014,0.3811078066350698,19,20
face,Medium,High,2.0491210525506176,0.3099923475916887,19,20
friend,Medium,High,1.9240000007190055,0.2681022872335552,19,20
day,High,High,2.0232052621921817,0.287176621402779,19,20
man,High,High,1.9113526317309344,0.2771679839420178,19,20
ethereum,Low,High,1.8460631575803028,0.15349648529390528,19,20
